기준연도,시도코드,시도명,시군구코드,시군구명,분만_A취약지,분만_접근성취약인구비율(백분율),분만_TRI(백분율),소아청소년과_취약지,소아청소년과_접근성취약인구비율(백분율),소아청소년과_TRI(백분율),인공신장실_취약지,인공신장실_접근성취약인구비율(백분율),인공신장실_TRI(백분율),응급_취약지,가임여성인구(백분율),분만건수(건),인구수(명),노인인구비율(백분율),재정자립도(백분율),의료급여 수급자 비율(백분율),면적당종합병원(100제곱킬로미터당 개수),면적당병원(100제곱킬로미터당 개수),면적당의원(100제곱킬로미터당 개수)
2023,11,서울특별시,11110,종로구,,0,82.93172691,,0,91.5,,0,93.10810811,,24.06234534,498,139417,20.44227031,46.7,2.618045145,16.72714729,29.27250776,869.8116592
2023,11,서울특별시,11140,중구,,0,91.18644068,,0,93.5,,0,92.82512958,,24.61586653,590,121312,21.04078739,55.8,3.299756001,10.04021367,40.16085466,2821.30004
2023,11,서울특별시,11170,용산구,,0,91.28888889,,0,94.19,,0,94.75115726,,25.54620903,1125,213151,18.40901521,41.7,2.890439172,4.57298027,9.14596054,727.1038629
2023,11,서울특별시,11200,성동구,,0,94.0848991,,0,91.8,,0,95.39991865,,25.10987486,1437,277361,17.76024748,34.5,2.330536737,5.945250544,35.67150327,1456.586383
2023,11,서울특별시,11215,광진구,,0,89.79310345,,0,92.22,,0,95.57765702,,26.79330302,1450,335554,16.82620383,26.1,2.124844287,11.72139182,35.16417547,1723.044598
2023,11,서울특별시,11230,동대문구,,0,90.02064694,,0,94.02,,0,97.21204189,,24.44357158,1453,341149,19.57795567,23.8,3.233484489,28.13748385,119.5843064,1885.211418
2023,11,서울특별시,11260,중랑구,,0,91.70679508,,0,91.74,,0,96.03439089,,22.48537897,1869,382155,20.61755047,21.6,4.030563515,16.21872828,86.49988415,1411.02936
2023,11,서울특별시,11290,성북구,,0,91.12256587,,0,94.62,,0,95.09623841,,24.35115436,1746,425602,18.85141517,20.7,2.623812858,4.068692947,28.48085063,1041.585395
2023,11,서울특별시,11305,강북구,,0,88.58397366,,0,91.35,,0,95.44466336,,21.12573886,911,288113,23.76602236,17.2,5.210802706,4.237214864,42.37214864,978.7966336
2023,11,서울특별시,11320,도봉구,,0,86.64658635,,0,88.7,,0,94.63159993,,20.82730625,996,306948,22.92701044,20,3.199238959,4.842378169,24.21189085,852.2585578
2023,11,서울특별시,11350,노원구,,0,85.43174144,,0,82.82,,0,94.78505315,,23.07828178,2073,498213,19.3308886,16.5,4.363796208,8.465221006,22.57392268,1080.726548
2023,11,서울특별시,11380,은평구,,0,88.27433628,,0,92.85,,0,95.77473983,,23.90063629,1808,466770,20.04520428,18.1,3.316836986,6.731705193,40.39023116,1124.194767
2023,11,서울특별시,11410,서대문구,,0,90.9716909,,0,90.51,,0,97.39311189,,25.1166603,1307,306231,18.8054116,25.2,2.248629303,11.34666794,39.71333778,1174.380132
2023,11,서울특별시,11440,마포구,,0,91.04567308,,0,91.12,,0,96.06825578,,28.34172402,1664,363697,15.81096352,33,2.032186133,0,20.96087528,1697.830898
2023,11,서울특별시,11470,양천구,,0,90.0067981,,0,89.18,,0,97.16717698,,23.44413662,1471,436028,17.45897052,25.3,2.353518581,17.23539675,45.96105799,1821.206923
2023,11,서울특별시,11500,강서구,,0,89.69290505,,0,87.52,,0,96.32359081,,25.80782086,2833,563058,18.08126339,21.1,3.725371099,9.649726065,53.07349336,1109.718497
2023,11,서울특별시,11530,구로구,,0,90.86538462,,0,92.83,,0,96.52126578,,23.39368764,2080,392405,19.97349677,22.1,2.300429403,9.938921205,49.69460602,1441.143575
2023,11,서울특별시,11545,금천구,,0,90.08341057,,0,90.01,,0,96.63271635,,23.00631701,1079,227481,19.57570083,23.6,3.934834118,7.680180333,38.40090167,1320.991017
2023,11,서울특별시,11560,영등포구,,0,90.99022524,,0,94.42,,0,96.6637,,26.11407867,2353,374794,17.5677839,37.4,2.16679029,28.51185149,65.16994626,1564.07871
2023,11,서울특별시,11590,동작구,,0,91.35135135,,0,93.62,,0,94.52141679,,25.41786683,1665,378769,18.50441826,27.4,1.956601517,12.22728351,36.68185053,1699.592408
2023,11,서울특별시,11620,관악구,,0,83.93870602,,0,90.54,,0,95.80618018,,26.93046668,1762,481956,17.58708264,19.9,3.036169277,3.381992437,43.96590168,1173.551376
2023,11,서울특별시,11650,서초구,,0,91.99514858,,0,95.29,,0,93.70276572,,26.12666313,1649,407664,16.07721064,57.3,1.134022136,2.129201724,31.93802585,1752.333018
2023,11,서울특별시,11680,강남구,,0,90.87179487,,0,91.34,,0,94.40163164,,26.81101835,1950,544873,15.86314609,60.4,1.943205114,10.12719835,98.74018387,4802.823815
2023,11,서울특별시,11710,송파구,,0,91.62924952,,0,87.93,,0,93.63263144,,25.72160583,3118,654166,16.60786406,37.4,1.454370909,5.903784547,64.94163002,1839.028886
2023,11,서울특별시,11740,강동구,,0,92.90843806,,0,91.01,,0,95.88858141,,23.99192451,2228,459167,18.03592157,25.6,2.316368554,12.19989146,73.19934878,1691.718283
2023,26,부산광역시,26110,중구,,0,91.30434783,,0,96.52,,0,98.02648172,,18.93627489,92,38619,30.72580854,23.7,7.897666952,33.1897137,99.56914109,2290.090245
2023,26,부산광역시,26140,서구,,0,92.53731343,,0,95.02,,0,97.14707192,,19.07214019,335,104089,28.12304854,13.6,6.395488476,28.62863062,50.10010359,450.9009323
2023,26,부산광역시,26170,동구,,0,95.2,,0,95.02,,0,98.9888205,,18.7602515,375,87792,28.58233096,17.3,7.95744487,29.63992705,79.03980547,701.4782736
2023,26,부산광역시,26200,영도구,,0,90.81272085,,0,94.81,,0.006023008,97.95454987,,15.96651275,283,106548,31.60547359,10.7,8.472237865,14.08401371,28.16802741,507.0244934
2023,26,부산광역시,26230,부산진구,,0,94.61584997,,0,93.86,,0,98.60904485,,22.53385182,1653,359508,22.06376492,21.3,4.085027315,13.48336635,74.1585149,1574.183021
2023,26,부산광역시,26260,동래구,,0,95.18518519,,0,94.73,,0,98.93220604,,21.21965179,1080,270815,21.23663756,22.3,2.635009139,18.03875197,126.2712638,1274.738472
2023,26,부산광역시,26290,남구,,0,91.7617237,,0,90.76,,0,96.27061917,,20.58382674,789,254185,23.19295002,19.6,3.14692055,3.727996628,26.09597639,678.4953862
2023,26,부산광역시,26320,북구,,0,94.72318339,,0,94.01,,0,96.8259773,,19.32228541,1156,273596,21.62093013,11.1,5.689045161,5.07948442,27.93716431,429.2164335
2023,26,부산광역시,26350,해운대구,,0,91.87105816,,0,92.77,,0,96.35165231,,21.04808016,1427,380448,20.94004963,29.6,3.684340567,3.881782466,25.23158603,700.661735
2023,26,부산광역시,26380,사하구,,0,90.63079777,,0,93.6,,0,94.34382273,,19.24077749,1078,297831,23.18428908,16.4,5.5649009,0,47.86414773,473.8550625
2023,26,부산광역시,26410,금정구,,0,91.88811189,,0,89.15,,0,94.91991263,,19.19152094,715,215590,25.07815761,17.1,4.201493576,0,15.31891158,231.3155649
2023,26,부산광역시,26440,강서구,,0,84.47937132,,0,88.58,,0,90.74837617,,22.63195595,1018,142396,14.1717464,42.7,1.792185174,0,3.842857103,31.29183641
