시도,시도내순위,지역,등급,순위S,순위B,미충족분만,권고유형,현행,불일치
강원,1,강원 평창군,A,9,18,84.0,순회진료,미지원,상위-미지원
강원,2,강원 화천군,A,10,13,128.0,순회진료,기 지원,
강원,3,강원 인제군,A,11,4,198.0,순회진료,기 지원,
강원,4,강원 정선군,A,22,21,83.0,순회진료,기 지원,
강원,5,강원 홍천군,A,28,6,192.0,분만 설치 검토,미지원,
강원,6,강원 고성군,B,31,28,68.0,순회진료,미지원,
강원,7,강원 횡성군,B,34,43,47.0,순회진료,미지원,
강원,8,강원 양양군,B,48,23,75.0,순회진료,미지원,
경기,1,경기 양평군,A,17,1,360.0,분만 설치 검토,미지원,
경기,2,경기 연천군,A,26,8,140.0,순회진료,미지원,
경기,3,경기 가평군,A,30,9,138.0,분만 설치 검토,미지원,
경남,1,경상 의령군,A,12,44,45.0,순회진료,미지원,상위-미지원
경남,2,경상 합천군,A,14,33,61.0,순회진료,기 지원,
경남,3,경상 남해군,A,18,25,74.0,순회진료,미지원,
경남,4,경상 산청군,A,27,50,34.0,순회진료,기 지원,
경남,5,경상 함양군,B,41,18,84.0,외래 산부인과,기 지원,하위-기지원
경남,6,경상 고성군,B,51,29,67.0,외래 산부인과,미지원,
경북,1,경상 울릉군,A,1,53,21.0,순회진료,기 지원,
경북,1,경상 청송군,A,1,33,61.0,순회진료,미지원,상위-미지원
경북,1,경상 영양군,A,1,52,31.0,순회진료,기 지원,
경북,4,경상 영덕군,A,5,36,58.0,순회진료,미지원,상위-미지원
경북,5,경상 의성군,A,24,14,122.0,순회진료,기 지원,
경북,6,경상 청도군,A,25,23,75.0,순회진료,미지원,
경북,7,경상 군위군,A,29,48,41.0,순회진료,미지원,
경북,8,경상 봉화군,A,33,40,51.0,외래 산부인과,기 지원,
경북,9,경상 문경시,B,35,5,194.0,분만 설치 검토,기 지원,
경북,10,경상 성주군,B,40,18,84.0,외래 산부인과,미지원,
인천,1,인천 옹진군,A,8,37,53.0,순회진료,기 지원,
인천,2,인천 강화군,A,36,11,132.0,분만 설치 검토,미지원,
전남,1,전라 진도군,A,4,26,73.0,순회진료,기 지원,
전남,2,전라 완도군,A,7,10,134.0,순회진료,기 지원,
전남,3,전라 신안군,A,15,22,78.0,순회진료,미지원,상위-미지원
전남,4,전라 보성군,A,20,47,44.0,순회진료,기 지원,
전남,5,전라 장흥군,B,37,15,101.0,외래 산부인과,미지원,
전남,6,전라 곡성군,B,42,49,36.0,외래 산부인과,미지원,
전남,7,전라 구례군,B,46,51,33.0,외래 산부인과,미지원,
전남,8,전라 함평군,B,50,32,63.0,외래 산부인과,기 지원,하위-기지원
전북,1,전라 장수군,A,13,42,50.0,순회진료,미지원,상위-미지원
전북,2,전라 진안군,A,16,31,64.0,순회진료,기 지원,
전북,3,전라 무주군,A,23,44,45.0,순회진료,미지원,
전북,4,전라 순창군,B,38,38,52.0,외래 산부인과,미지원,
전북,5,전라 부안군,B,43,12,131.0,외래 산부인과,미지원,
전북,6,전라 임실군,B,49,33,61.0,외래 산부인과,미지원,
충남,1,충청 태안군,B,32,16,99.0,순회진료,미지원,
충남,2,충청 부여군,B,44,17,85.0,외래 산부인과,기 지원,하위-기지원
충남,3,충청 금산군,B,45,27,72.0,외래 산부인과,미지원,
충남,4,충청 청양군,B,47,40,51.0,순회진료,미지원,
충남,5,충청 예산군,B,52,7,184.0,분만 설치 검토,미지원,
충북,1,충청 보은군,A,6,30,65.0,순회진료,기 지원,
충북,2,충청 괴산군,A,19,38,52.0,순회진료,기 지원,
충북,3,충청 단양군,A,21,44,45.0,순회진료,기 지원,
충북,4,충청 음성군,B,39,3,244.0,분만 설치 검토,미지원,
충북,5,충청 진천군,B,53,2,316.0,분만 운영지원,미지원,
